编号	中文牌名	时月牌名	文件名
000	愚者	随云启程	000-愚者-随云启程.png
001	魔术师	灵机在握	001-魔术师-灵机在握.png
002	女祭司	月下玄知	002-女祭司-月下玄知.png
003	皇后	万物丰生	003-皇后-万物丰生.png
004	皇帝	天阙定疆	004-皇帝-天阙定疆.png
005	教皇	传灯承道	005-教皇-传灯承道.png
006	恋人	两心缔缘	006-恋人-两心缔缘.png
007	战车	御风前行	007-战车-御风前行.png
008	力量	柔心驭兽	008-力量-柔心驭兽.png
009	隐者	孤灯寻真	009-隐者-孤灯寻真.png
010	命运之轮	命轮流转	010-命运之轮-命轮流转.png
011	正义	天衡昭正	011-正义-天衡昭正.png
012	倒吊人	倒悬悟道	012-倒吊人-倒悬悟道.png
013	死神	蝶蜕新生	013-死神-蝶蜕新生.png
014	节制	阴阳调和	014-节制-阴阳调和.png
015	恶魔	欲念成缚	015-恶魔-欲念成缚.png
016	高塔	惊雷破阁	016-高塔-惊雷破阁.png
017	星星	星河赐愿	017-星星-星河赐愿.png
018	月亮	月影迷津	018-月亮-月影迷津.png
019	太阳	曦光普照	019-太阳-曦光普照.png
020	审判	天音唤醒	020-审判-天音唤醒.png
021	世界	四海归圆	021-世界-四海归圆.png
022	权杖一	灵焰初燃	022-权杖一-灵焰初燃.png
023	权杖二	登楼望野	023-权杖二-登楼望野.png
024	权杖三	云帆启程	024-权杖三-云帆启程.png
025	权杖四	华灯同庆	025-权杖四-华灯同庆.png
026	权杖五	群英竞辉	026-权杖五-群英竞辉.png
027	权杖六	凯歌荣归	027-权杖六-凯歌荣归.png
028	权杖七	据峰而守	028-权杖七-据峰而守.png
029	权杖八	流火传讯	029-权杖八-流火传讯.png
030	权杖九	历战持关	030-权杖九-历战持关.png
031	权杖十	负薪远行	031-权杖十-负薪远行.png
032	权杖侍者	探火灵童	032-权杖侍者-探火灵童.png
033	权杖骑士	驰焰行者	033-权杖骑士-驰焰行者.png
034	权杖王后	丹凰御火	034-权杖王后-丹凰御火.png
035	权杖国王	炎君执杖	035-权杖国王-炎君执杖.png
036	圣杯一	心泉初涌	036-圣杯一-心泉初涌.png
037	圣杯二	双盏同心	037-圣杯二-双盏同心.png
038	圣杯三	花宴同欢	038-圣杯三-花宴同欢.png
039	圣杯四	临盏倦心	039-圣杯四-临盏倦心.png
040	圣杯五	空盏惜流	040-圣杯五-空盏惜流.png
041	圣杯六	莲庭旧梦	041-圣杯六-莲庭旧梦.png
042	圣杯七	幻莲千境	042-圣杯七-幻莲千境.png
043	圣杯八	辞盏远行	043-圣杯八-辞盏远行.png
044	圣杯九	心愿得偿	044-圣杯九-心愿得偿.png
045	圣杯十	阖家承欢	045-圣杯十-阖家承欢.png
046	圣杯侍者	捧露灵童	046-圣杯侍者-捧露灵童.png
047	圣杯骑士	献月使者	047-圣杯骑士-献月使者.png
048	圣杯王后	澄心月主	048-圣杯王后-澄心月主.png
049	圣杯国王	沧海怀仁	049-圣杯国王-沧海怀仁.png
050	宝剑一	月刃破晓	050-宝剑一-月刃破晓.png
051	宝剑二	闭目持衡	051-宝剑二-闭目持衡.png
052	宝剑三	心雨成伤	052-宝剑三-心雨成伤.png
053	宝剑四	松风止息	053-宝剑四-松风止息.png
054	宝剑五	争锋失和	054-宝剑五-争锋失和.png
055	宝剑六	轻舟渡霭	055-宝剑六-轻舟渡霭.png
056	宝剑七	月下潜行	056-宝剑七-月下潜行.png
057	宝剑八	缚丝困身	057-宝剑八-缚丝困身.png
058	宝剑九	长夜忧思	058-宝剑九-长夜忧思.png
059	宝剑十	万刃终局	059-宝剑十-万刃终局.png
060	宝剑侍者	听风灵童	060-宝剑侍者-听风灵童.png
061	宝剑骑士	逐电剑使	061-宝剑骑士-逐电剑使.png
062	宝剑王后	霜华明断	062-宝剑王后-霜华明断.png
063	宝剑国王	玄刃裁决	063-宝剑国王-玄刃裁决.png
064	星币一	天赐玉璧	064-星币一-天赐玉璧.png
065	星币二	双璧回环	065-星币二-双璧回环.png
066	星币三	众匠共筑	066-星币三-众匠共筑.png
067	星币四	怀璧固守	067-星币四-怀璧固守.png
068	星币五	雪夜寒门	068-星币五-雪夜寒门.png
069	星币六	分玉施恩	069-星币六-分玉施恩.png
070	星币七	静候花实	070-星币七-静候花实.png
071	星币八	匠心琢玉	071-星币八-匠心琢玉.png
072	星币九	兰庭自足	072-星币九-兰庭自足.png
073	星币十	世代承泽	073-星币十-世代承泽.png
074	星币侍者	寻玉灵童	074-星币侍者-寻玉灵童.png
075	星币骑士	躬耕守成	075-星币骑士-躬耕守成.png
076	星币王后	厚土养华	076-星币王后-厚土养华.png
077	星币国王	山河丰藏	077-星币国王-山河丰藏.png
